"","caseid","age","earnings","scores_cognitive_skill","meduc","feduc","faminc79","numsibs","tuit4","school","yob"
"3302",826,27,34207.09765625,0.933637499809265,6,4,2.5,4,0.153915166854858,1,1961
"3303",826,28,34717.7578125,0.933637499809265,6,4,2.5,4,0.153915166854858,1,1961
"3304",826,29,40843.15625,0.933637499809265,6,4,2.5,4,0.153915166854858,1,1961
"3305",827,26,41635.97265625,0.362627416849136,4,4,1.79212915897369,2,0.146543994545937,0,1960
"3306",827,27,42443.68359375,0.362627416849136,4,4,1.79212915897369,2,0.146543994545937,0,1960
"3307",827,28,43086.38671875,0.362627416849136,4,4,1.79212915897369,2,0.146543994545937,0,1960
"3308",827,29,45827.44140625,0.362627416849136,4,4,1.79212915897369,2,0.146543994545937,0,1960
"3309",828,26,33147.2578125,0.862775206565857,4,6,0.800000011920929,2,0.207384526729584,1,1958
"3310",828,27,41609.65625,0.862775206565857,4,6,0.800000011920929,2,0.207384526729584,1,1958
"3311",828,28,37708.0234375,0.862775206565857,4,6,0.800000011920929,2,0.207384526729584,1,1958
"3312",828,29,53054.55859375,0.862775206565857,4,6,0.800000011920929,2,0.207384526729584,1,1958
"3313",829,26,51867.4765625,0.302262097597122,6,8,2.04999995231628,1,0.164728000760078,0,1957
"3314",829,27,76238.7265625,0.302262097597122,6,8,2.04999995231628,1,0.164728000760078,0,1957
"3315",829,28,44810.3984375,0.302262097597122,6,8,2.04999995231628,1,0.164728000760078,0,1957
"3316",829,29,39279.19140625,0.302262097597122,6,8,2.04999995231628,1,0.164728000760078,0,1957
"3317",830,26,22219.361328125,0.682289063930511,8,3,4.5,2,0.119548000395298,0,1963
"3318",830,27,20421.5703125,0.682289063930511,8,3,4.5,2,0.119548000395298,0,1963
"3319",830,28,15171.810546875,0.682289063930511,8,3,4.5,2,0.119548000395298,0,1963
"3320",830,29,22738.255859375,0.682289063930511,8,3,4.5,2,0.119548000395298,0,1963
"3321",831,26,46113.23828125,-0.564848601818085,4,3,1.10000002384186,1,0.103531993925571,0,1964
"3322",831,27,44251.1015625,-0.564848601818085,4,3,1.10000002384186,1,0.103531993925571,0,1964
"3323",831,28,49094.77734375,-0.564848601818085,4,3,1.10000002384186,1,0.103531993925571,0,1964
"3324",831,29,58393.08203125,-0.564848601818085,4,3,1.10000002384186,1,0.103531993925571,0,1964
"3325",832,26,24005.57421875,0.483671754598618,4,3,1.47300004959106,4,0.249291107058525,0,1959
"3326",832,27,29852.18359375,0.483671754598618,4,3,1.47300004959106,4,0.249291107058525,0,1959
"3327",832,28,24253.525390625,0.483671754598618,4,3,1.47300004959106,4,0.249291107058525,0,1959
"3328",832,29,37846.15234375,0.483671754598618,4,3,1.47300004959106,4,0.249291107058525,0,1959
"3329",833,26,23715.384765625,-0.734059870243073,4,4,0.571699976921082,3,0.198321178555489,0,1964
"3330",833,27,22757.716796875,-0.734059870243073,4,4,0.571699976921082,3,0.198321178555489,0,1964
"3331",833,28,22706.337890625,-0.734059870243073,4,4,0.571699976921082,3,0.198321178555489,0,1964
