"caseid","xsa","xsb","xsb2","xsbc","xsbc2","xsc","za","zb","zc","zd","ze","zf","zg","school"
110,4.0,22.0,126.0,6.0,14.0,11.429543835299125,1.0,9.428821788190021,10.043249474179234,3.0,-2.13350558280945,3.0,6.0,0.0
111,4.0,38.0,366.0,54.0,734.0,10.811746108386876,1.0,9.521720668410136,9.425451747266985,1.0,0.790047407150269,8.0,8.0,1.0
112,4.0,22.0,126.0,6.0,14.0,11.797002428310895,1.0,9.400162049885164,10.410708067191004,3.0,-1.66133403778076,5.0,6.0,0.0
113,4.0,38.0,366.0,54.0,734.0,10.596634733096073,1.0,9.400133948834721,9.210340371976184,3.0,-1.28931331634521,5.0,6.0,1.0
114,4.0,22.0,126.0,6.0,14.0,12.100712129872347,1.0,9.39928915599222,10.714417768752456,1.0,-0.686926066875458,4.0,4.0,0.0
115,4.0,22.0,126.0,6.0,14.0,11.493130827525553,1.0,9.504209324122723,10.106836466405662,1.0,-0.168535098433495,4.0,6.0,0.0
116,4.0,22.0,126.0,6.0,14.0,11.877568552067185,1.0,9.39928915599222,10.491274190947294,4.0,-0.304765820503235,3.0,4.0,0.0
117,4.0,38.0,366.0,54.0,734.0,11.790557187118896,1.0,9.40791207555454,10.404262825999005,2.0,1.36939907073975,4.0,5.0,1.0
118,4.0,38.0,366.0,54.0,734.0,11.790557187118896,1.0,9.389492789848017,10.404262825999005,2.0,0.674800336360931,4.0,5.0,1.0
119,4.0,38.0,366.0,54.0,734.0,11.790557187118896,1.0,9.377614811363575,10.404262825999005,2.0,0.588487684726715,4.0,5.0,1.0
120,4.0,22.0,126.0,6.0,14.0,11.820410192767433,1.0,9.379217727219874,10.434115831647542,2.0,0.264430522918701,4.0,3.0,0.0
121,4.0,38.0,366.0,54.0,734.0,12.388394202324129,1.0,9.489232578836816,11.002099841204238,4.0,0.580883622169495,4.0,8.0,1.0
122,4.0,38.0,366.0,54.0,734.0,12.206072645530174,1.0,9.406897780329992,10.819778284410283,2.0,1.23929798603058,3.0,4.0,1.0
123,4.0,22.0,126.0,6.0,14.0,11.877568552067185,1.0,9.379217727219874,10.491274190947294,4.0,-1.07455265522003,4.0,4.0,0.0
124,4.0,22.0,126.0,6.0,14.0,11.957611310684861,1.0,9.39928915599222,10.57131694956497,3.0,-1.01877880096436,3.0,3.0,0.0
125,4.0,22.0,126.0,6.0,14.0,11.982929094215963,1.0,9.40791207555454,10.596634733096073,3.0,-1.88608491420746,4.0,4.0,0.0
126,4.0,38.0,366.0,54.0,734.0,11.982929094215963,1.0,9.389492789848017,10.596634733096073,3.0,0.576112866401672,4.0,4.0,1.0
127,4.0,38.0,366.0,54.0,734.0,12.100712129872347,1.0,9.54403687134021,10.714417768752456,1.0,1.23388493061066,4.0,5.0,1.0
128,4.0,22.0,126.0,6.0,14.0,11.84939770159144,1.0,9.504209324122723,10.46310334047155,1.0,0.517800390720367,7.0,8.0,0.0
129,4.0,38.0,366.0,54.0,734.0,11.982929094215963,1.0,9.377614811363575,10.596634733096073,0.0,0.317669600248337,4.0,6.0,1.0
130,4.0,38.0,366.0,54.0,734.0,12.206072645530174,1.0,9.489232578836816,10.819778284410283,2.0,1.07650327682495,7.0,7.0,1.0
131,4.0,38.0,366.0,54.0,734.0,12.388394202324129,1.0,9.39928915599222,11.002099841204238,2.0,-0.342555403709412,7.0,7.0,1.0
